id,category,question,answer
2321,Fundamental Principles,What is the main difference between PFR and CSTR?,Axial mixing occurs only in CSTR.
2322,Water & Wastewater,What does detention time control in sedimentation?,Particle removal efficiency.
2323,Fundamental Principles,What is the main mechanism of Type I settling?,Discrete particle settling.
2324,Fundamental Principles,What is flocculent settling classified as?,Type II settling.
2325,Water & Wastewater,What is sludge bulking caused by?,Filamentous bacteria growth.
2326,Fundamental Principles,What is nitrification inhibited by?,Low temperature or toxins.
2327,Fundamental Principles,What organisms carry out denitrification?,Facultative bacteria.
2328,Air Quality & Control,What is an anoxic zone?,Zone without free oxygen but with nitrate.
2329,Fundamental Principles,What is the purpose of tertiary treatment?,Remove remaining contaminants.
2330,Environmental Chemistry,What nutrient removal targets eutrophication control?,Nitrogen and phosphorus.
2331,Environmental Chemistry,What is the typical pH range for biological treatment?,6.5–8.5.
2332,Fundamental Principles,What is shock loading in wastewater treatment?,Sudden high organic loading.
2333,Fundamental Principles,What is grit composed of?,"Sand, gravel, and heavy solids."
2334,Fundamental Principles,Why is grit removal important?,Protect equipment from abrasion.
2335,Fundamental Principles,What is combined sewer overflow (CSO)?,Discharge of untreated wastewater.
2336,Fundamental Principles,What weather condition triggers CSOs?,Heavy rainfall.
2337,Fundamental Principles,What is the purpose of equalization basins?,Dampen flow variations.
2338,Fundamental Principles,What is the moisture content of MSW typically around?,About 25–30%.
2339,Fundamental Principles,What is the largest component of MSW by weight?,Paper and paperboard.
2340,Fundamental Principles,What does proximate analysis NOT include?,Elemental composition.
2341,Fundamental Principles,What does ultimate analysis determine?,"Carbon, hydrogen, oxygen, nitrogen, sulfur."
2342,Fundamental Principles,What is refuse compaction used for?,Reduce volume.
2343,Solid & Hazardous Waste,What is landfill settlement caused by?,Biodegradation and compression.
2344,Solid & Hazardous Waste,What is landfill gas migration risk?,Explosion or odor issues.
2345,Fundamental Principles,What is a gas collection system used for?,Collect and control landfill gas.
2346,Solid & Hazardous Waste,What is the primary benefit of recycling aluminum?,Energy savings.
2347,Fundamental Principles,What is downcycling?,Recycling into lower-value products.
2348,Thermodynamics,What is source separation efficiency dependent on?,Public participation.
2349,Fundamental Principles,What is the main advantage of WTE?,Energy recovery.
2350,Fundamental Principles,What ash is collected at the bottom of an incinerator?,Bottom ash.
2351,Fundamental Principles,What ash is collected from flue gas?,Fly ash.
2352,Fundamental Principles,What is the major concern with fly ash?,Heavy metal content.
2353,Solid & Hazardous Waste,What is hazardous waste compatibility?,Prevent dangerous reactions.
2354,Fundamental Principles,What is neutralization used for in waste treatment?,Adjust pH.
2355,Solid & Hazardous Waste,What does TCLP simulate?,Leaching in landfill conditions.
2356,Fundamental Principles,What is a manifest used for?,Track hazardous waste.
2357,Health Hazards & Risk Assessment,What is the exposure pathway?,Route contaminants take to receptors.
2358,Probability & Statistics,What is the unit of risk probability?,Dimensionless.
2359,Health Hazards & Risk Assessment,What does acceptable risk typically range around?,10⁻⁶ to 10⁻⁴.
2360,Fundamental Principles,What is the main role of environmental monitoring?,Detect environmental changes.
2361,Fundamental Principles,What is adaptive management?,Management that evolves with feedback.
2362,Energy & Environment,What is sustainability assessment?,Evaluation of sustainability impacts.
2363,Fundamental Principles,What is the SI unit of force?,Newton (N).
2364,Fundamental Principles,What is the acceleration due to gravity on Earth?,9.81 m/s².
2365,Fluid Mechanics & Hydraulics,What does head loss represent in fluid flow?,Energy loss due to friction.
2366,Fluid Mechanics & Hydraulics,What equation is used to calculate head loss in pipes?,Darcy–Weisbach equation.
2367,Fundamental Principles,What does the Hazen–Williams equation estimate?,Head loss in water pipes.
2368,Fundamental Principles,What type of flow is assumed in the Hazen–Williams equation?,Turbulent flow.
2369,Fundamental Principles,What is a control volume?,A defined region for analysis.
2370,Fundamental Principles,What is steady flow?,Flow properties do not change with time.
2371,Fundamental Principles,What is uniform flow?,Flow properties do not change with distance.
2372,Fluid Mechanics & Hydraulics,What does viscosity measure?,Resistance to fluid deformation.
2373,Fluid Mechanics & Hydraulics,What is the unit of dynamic viscosity?,Pa·s.
2374,Fluid Mechanics & Hydraulics,What is kinematic viscosity equal to?,Dynamic viscosity divided by density.
2375,Fluid Mechanics & Hydraulics,What is the unit of kinematic viscosity?,m²/s.
2376,Fundamental Principles,What does the Prandtl number compare?,Momentum diffusivity to thermal diffusivity.
2377,Fundamental Principles,What is the Schmidt number used for?,Momentum diffusivity to mass diffusivity.
2378,Fundamental Principles,What is the main driving force for diffusion?,Concentration gradient.
2379,Fundamental Principles,What law governs molecular diffusion?,Fick’s Law.
2380,Fundamental Principles,What is the unit of diffusion coefficient?,m²/s.
2381,Fundamental Principles,What is an environmental receptor?,A person or ecosystem exposed to contaminants.
2382,Health Hazards & Risk Assessment,What does exposure duration refer to?,Length of time exposure occurs.
2383,Air Quality & Control,What is the unit of concentration in air pollution?,µg/m³.
2384,Fundamental Principles,Convert 1 ppm of a gas to mg/m³ at STP (qualitative).,Depends on molecular weight.
2385,Air Quality & Control,What is the purpose of stack height in air pollution control?,Dilute pollutants in the atmosphere.
2386,Probability & Statistics,What does Gaussian plume modeling estimate?,Ground-level pollutant concentrations.
2387,Fundamental Principles,What is an emission factor?,Pollutant mass per unit activity.
2388,Fundamental Principles,What is the main greenhouse gas emitted by human activities?,Carbon dioxide.
2389,Fundamental Principles,What is global warming potential (GWP)?,Relative climate impact of gases.
2390,Fundamental Principles,What is the residence time of water in a lake?,Volume divided by outflow rate.
2391,Environmental Chemistry,What is eutrophic water characterized by?,High nutrients and productivity.
2392,Environmental Chemistry,What is oligotrophic water characterized by?,Low nutrients and productivity.
2393,Fundamental Principles,What is thermal stratification caused by?,Temperature differences.
2394,Fundamental Principles,What is turnover in lakes?,Seasonal mixing of water layers.
2395,Fundamental Principles,What is the epilimnion?,Warm surface layer.
2396,Fundamental Principles,What is the hypolimnion?,Cold bottom layer.
2397,Fundamental Principles,What is a thermocline?,Zone of rapid temperature change.
2398,Fundamental Principles,What is the primary cause of fish kills?,Low dissolved oxygen.
2399,Fundamental Principles,What is a conservative pollutant?,Does not degrade or react.
2400,Probability & Statistics,What does first-order decay mean?,Decay rate proportional to concentration.
2401,Environmental Chemistry,What is the unit of a first-order rate constant?,1/time.
2402,Fundamental Principles,What happens to concentration in first-order decay over time?,Exponential decrease.
2403,Fundamental Principles,What is a batch reactor?,No inflow or outflow during reaction.
2404,Fundamental Principles,What is a completely mixed reactor assumption?,Uniform concentration throughout reactor.
2405,Fundamental Principles,What is the main difference between PFR and CSTR?,Axial mixing occurs only in CSTR.
2406,Water & Wastewater,What does detention time control in sedimentation?,Particle removal efficiency.
